"ProductFamilyName","ContentHubFamilyId","Status","Definition"
"Brother Labelling","105494","Existing","M.PCM.ProductFamily"
"Brother Printers","105496","Created","M.PCM.ProductFamily"
"Brother Scanners","105497","Created","M.PCM.ProductFamily"
"Brother Supplies","105498","Created","M.PCM.ProductFamily"
