"DataItemPath","FieldName","LocalFile","Purpose","DamId","PublicUrl","ImageFieldXml","Error"
"/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","WhitepaperUrl","agentic-ai-energy-trading-whitepaper.pdf","Dummy whitepaper download","EAKzqY1IRCi2w3wDVosC7g","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c4d6213c0c1f4bd8ae21e235b34c159c","<link text=""Download whitepaper"" linktype=""external"" url=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/c4d6213c0c1f4bd8ae21e235b34c159c"" anchor="""" target=""_blank"" />",""
"/sitecore/content/capco/capco/Home/perspectives/canada-payment-fraud","Image","fraud.jpg","Payments fraud Perspective","w1ZMSpavTZaqG1HP6V3vWg","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/9be79caf2c1c4ff7b10c09153473ad31","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/9be79caf2c1c4ff7b10c09153473ad31"" dam-id=""w1ZMSpavTZaqG1HP6V3vWg"" alt=""Payments fraud controls"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/energy-sovereignty-cyber-resilience","Image","energy-sovereignty.jpg","Energy sovereignty Perspective","l35KWOhHSW2CCoen_ZK8nQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/acfc8cf33553466cab6cbec77977c8bd","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/acfc8cf33553466cab6cbec77977c8bd"" dam-id=""l35KWOhHSW2CCoen_ZK8nQ"" alt=""Energy cyber resilience"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/from-predictable-to-weather-driven","Image","search-ai-bridge-tl.jpg","Weather-driven article banner","aWM1637mRzK27wy0bUvsXQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/259e8cb6fb35476894c2d3a96e6b4234","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/259e8cb6fb35476894c2d3a96e6b4234"" dam-id=""aWM1637mRzK27wy0bUvsXQ"" alt=""From predictable to weather-driven"" dam-content-type=""Image"" />",""
"/sitecore/content/capco/capco/Home/perspectives/from-predictable-to-weather-driven","Infographic","search-beyond-experimentation.jpg","Weather-driven article image","DAmgJh54R3Wx-HrBd4AVrw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/15fdb2b2e88f47fca6548ff05d770dc2","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/15fdb2b2e88f47fca6548ff05d770dc2"" dam-id=""DAmgJh54R3Wx-HrBd4AVrw"" alt=""Orchestrating flexibility in a weather-driven power system"" dam-content-type=""Image"" />",""
"/sitecore/content/capco/capco/Home/perspectives/ai-assistants-as-the-front-door-to-fs","Image","banking-hero.jpg","AI assistants Perspective","B-1V7fMDRZa6HlyGlIgNVQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/1e59dfb8e83b4d028d745fcdf6be2b0c","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/1e59dfb8e83b4d028d745fcdf6be2b0c"" dam-id=""B-1V7fMDRZa6HlyGlIgNVQ"" alt=""AI assistants in banking"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/reimagining-business-banking-onboarding","Image","onboarding.jpg","Onboarding Perspective","c9vW1MCJTy2QaUZRE8sCyQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/b0b72452279f4123861ec0f4fcb24458","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/b0b72452279f4123861ec0f4fcb24458"" dam-id=""c9vW1MCJTy2QaUZRE8sCyQ"" alt=""Business banking onboarding"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/future-of-analytics","Image","regulation-glass.jpg","Analytics Perspective","m7iKeQThTByYrbGY8zM7tQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76"" dam-id=""m7iKeQThTByYrbGY8zM7tQ"" alt=""The future of analytics in the era of AI"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/regulatory-heatmap","Image","regulation-glass.jpg","Heatmap Perspective","m7iKeQThTByYrbGY8zM7tQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76"" dam-id=""m7iKeQThTByYrbGY8zM7tQ"" alt=""Regulatory Heatmap 2026-2028"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
"/sitecore/content/capco/capco/Home/perspectives/regulatory-horizon","Image","regulation-glass.jpg","Horizon Perspective","m7iKeQThTByYrbGY8zM7tQ","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76","<Image src=""https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/2bc0ec476201435f9c3c0e891b454c76"" dam-id=""m7iKeQThTByYrbGY8zM7tQ"" alt=""Regulatory Horizon"" dam-content-type=""Image"" width=""1600"" height=""1067"" />",""
